,Unnamed: 0,Unnamed: 0.1,Title,Year,IMDB Rating,Age Restriction,Genre,Language,Runtime,Country,Type,Release Date,OTT Release Date,OTT,OTT Year
6279,6279,6279,Gabriel Fluffy Iglesias: One Show Fits All,2019,7.3,TV-14,Comedy,English,120,"Israel,Spain,United Kingdom,Canada,South Africa,Hong Kong,Belgium,Switzerland,Romania,France,Japan,South Korea,Australia,Netherlands,Russia,Poland,Sweden,Hungary,Greece,India,Germany,Lithuania,Brazil,Slovakia,Argentina,Mexico,Singapore,Portugal,Czech Republic,Iceland,Italy,Thailand,Turkey,United States",Movie,29-01-2019,2019-01-29,Netflix,2019
6280,6280,6280,Bhasmasur,2017,6.9,Not Rated,Drama,Hindi,120,"Australia,Russia,Singapore,Hungary,India,Lithuania,South Africa,United Kingdom,Canada,Romania,Thailand,Czech Republic,United States,Greece,Slovakia,Malaysia,Iceland,Israel",Movie,12-10-2017,2019-01-29,Netflix,2019
6281,6281,6281,Up Among  The Stars,2018,6.2,Not Rated,Drama,Spanish,120,"Hong Kong,Japan,Australia,South Korea,Russia,Singapore,India,Sweden,Poland,Slovakia,Germany,Lithuania,South Africa,United Kingdom,Canada,Switzerland,Romania,Argentina,Mexico,Thailand,Hungary,Turkey,Spain,Portugal,Czech Republic,Belgium,United States,Greece,Malaysia,Brazil,Netherlands,Italy,Iceland,Israel,Colombia",Movie,31-08-2018,2019-01-28,Netflix,2019
6282,6282,6282,Alt-Right: Age of Rage,2018,5.9,Not Rated,Documentary,English,120,"United States,Canada",Movie,09-03-2018,2019-01-28,Netflix,2019
6283,6283,6283,An Evening with Beverly Luff Linn,2018,5.8,R,"Comedy, Crime",English,120,United States,Movie,19-10-2018,2019-01-28,Netflix,2019
6284,6284,6284,Nathicharami,2018,7.2,Not Rated,Drama,Kannada,120,"Singapore,Russia,India,Lithuania,United Kingdom,Canada,South Africa,Romania,Thailand,Hungary,Australia,Czech Republic,United States,Malaysia,Iceland,Israel,Greece",Movie,01-12-2018,2019-01-28,Netflix,2019
6285,6285,6285,Surga Yang Tak Dirindukan,2015,7.8,Not Rated,"Drama, Romance",Indonesian,180,"Hong Kong,Romania,Australia,Russia,Singapore,India,Lithuania,United Kingdom,Canada,South Africa,Thailand,Hungary,Czech Republic,United States,Greece,Slovakia,Malaysia,Iceland,Israel",Movie,15-07-2015,2019-01-27,Netflix,2019
6286,6286,6286,Rudy Habibie,2016,7.5,Not Rated,"Biography, Drama, Romance","Indonesian, German, Dutch, English",180,"Hong Kong,Australia,Romania,Russia,Singapore,India,Lithuania,United Kingdom,Canada,South Africa,Thailand,Hungary,Czech Republic,United States,Greece,Slovakia,Malaysia,Iceland,Israel",Movie,30-06-2016,2019-01-27,Netflix,2019
6287,6287,6287,Habibie and Ainun,2012,7.6,TV-14,"Biography, Drama, Romance","Indonesian, German",180,"Hong Kong,Australia,Romania,Singapore,Russia,Hungary,India,Lithuania,United Kingdom,Canada,South Africa,Thailand,Czech Republic,United States,Greece,Slovakia,Malaysia,Iceland,Israel",Movie,20-12-2012,2019-01-27,Netflix,2019
6288,6288,6288,Surga Yang Tak Dirindukan 2,2017,7.1,Not Rated,"Drama, Romance",Indonesian,120,"Hong Kong,Romania,Australia,Singapore,Russia,India,Lithuania,United Kingdom,Canada,South Africa,Thailand,Hungary,Czech Republic,United States,Greece,Slovakia,Malaysia,Iceland,Israel",Movie,09-02-2017,2019-01-27,Netflix,2019
6289,6289,6289,Romance is a bonus book,2019,8.1,Not Rated,Romance,Korean,30,"South Korea,South Africa,Russia,Australia,Singapore,India,Slovakia,Czech Republic,Lithuania,United Kingdom,Canada,Hong Kong,Romania,Greece,Spain,Switzerland,Belgium,France,Poland,Sweden,Germany,Mexico,Portugal,Argentina,Japan,Iceland,Thailand,Hungary,Turkey,United States,Malaysia,Brazil,Netherlands,Italy,Israel,Colombia",Series,26-01-2019,2019-01-27,Netflix,2019
6290,6290,6290,Goyo: The Boy General,2018,6.7,TV-14,"Action, Biography, History, War","Filipino, Tagalog, English, Spanish",180,"Slovakia,Lithuania,Spain,United Kingdom,Czech Republic,Switzerland,Canada,Hong Kong,South Africa,Mexico,Belgium,Romania,Australia,Portugal,Japan,France,South Korea,Singapore,Russia,India,Hungary,Germany,Argentina,Greece,Iceland,Thailand,United States,Malaysia,Brazil,Italy,Israel,Colombia",Movie,05-09-2018,2019-01-26,Netflix,2019
6291,6291,6291,Mi Obra Maestra,2018,7.1,Not Rated,"Comedy, Drama",Spanish,120,"Argentina,United States,Brazil,Mexico,Colombia",Movie,16-08-2018,2019-01-25,Netflix,2019
6292,6292,6292,Examination of Conscience,2019,8.0,TV-MA,"Documentary, Crime",Spanish,30,"Lithuania,Brazil,Czech Republic,Israel,Spain,United Kingdom,South Africa,Canada,Switzerland,Hong Kong,Argentina,United States,Belgium,Romania,Australia,Portugal,Japan,France,Russia,South Korea,Netherlands,Sweden,Singapore,Poland,India,Germany,Slovakia,Greece,Iceland,Italy,Thailand,Hungary,Mexico,Turkey,Malaysia,Colombia",Series,25-01-2019,2019-01-25,Netflix,2019
