,Unnamed: 0,Unnamed: 0.1,Title,Year,IMDB Rating,Age Restriction,Genre,Language,Runtime,Country,Type,Release Date,OTT Release Date,OTT,OTT Year
0,0,0,Lets Fight Ghost,2008,7.9,R,"Crime, Drama, Fantasy, Horror, Romance","Swedish, Spanish",30,Thailand,Series,12-12-2008,2021-04-03,Netflix,2021
1,1,1,HOW TO BUILD A GIRL,2020,5.8,R,Comedy,English,120,Canada,Movie,08-05-2020,2021-04-03,Netflix,2021
2,2,2,Centigrade,2020,4.3,Unrated,"Drama, Thriller",English,120,Canada,Movie,28-08-2020,2021-04-03,Netflix,2021
3,3,3,ANNE+,2016,6.5,Not Rated,Drama,Turkish,30,"Belgium,Netherlands",Series,01-10-2016,2021-04-03,Netflix,2021
4,4,4,Moxie,2011,6.3,Not Rated,"Animation, Short, Drama",English,120,"Lithuania,Poland,France,Iceland,Italy,Spain,Greece,Czech Republic,Belgium,Portugal,Canada,Hungary,Mexico,Slovakia,Sweden,South Africa,Netherlands,Germany,Thailand,Turkey,Singapore,Romania,Argentina,Israel,Switzerland,Australia,United Kingdom,Brazil,Malaysia,India,Colombia,Hong Kong,Japan,South Korea,United States,Russia",Movie,22-09-2011,2021-04-03,Netflix,2021
5,5,5,The Con-Heartist,2020,7.4,Not Rated,"Comedy, Romance",Thai,180,Thailand,Movie,03-12-2020,2021-03-03,Netflix,2021
6,6,6,Gleboka woda,2011,7.5,Not Rated,Drama,Polish,30,Poland,Series,14-06-2011,2021-03-03,Netflix,2021
7,7,7,Instynkt,2011,3.9,Not Rated,Crime,Polish,30,Poland,Series,03-03-2011,2021-03-03,Netflix,2021
8,8,8,Only a Mother,1949,6.7,Not Rated,Drama,Swedish,120,"Lithuania,Poland,France,Italy,Spain,Greece,Belgium,Portugal,Netherlands,Germany,Switzerland,United Kingdom,Iceland,Czech Republic",Movie,31-10-1949,2021-03-03,Netflix,2021
9,9,9,Snowroller,1985,6.6,Not Rated,Comedy,"Swedish, English, German, Norwegian",120,"Lithuania,Poland,France,Italy,Spain,Greece,Czech Republic,Belgium,Portugal,Hungary,Slovakia,Netherlands,Germany,Romania,Switzerland,United Kingdom,Iceland",Movie,04-10-1985,2021-03-03,Netflix,2021
10,10,10,Sunes Summer,2018,5.5,Not Rated,"Comedy, Family, Fantasy",Swedish,120,"Lithuania,Poland,France,Italy,Spain,Greece,Czech Republic,Belgium,Portugal,Hungary,Slovakia,Netherlands,Germany,Romania,Switzerland,United Kingdom,Iceland",Movie,30-11-2018,2021-03-03,Netflix,2021
11,11,11,The Invisible,2007,6.2,PG-13,"Crime, Drama, Fantasy, Mystery, Thriller",English,120,"Lithuania,Poland,France,Italy,Spain,Greece,Czech Republic,Belgium,Portugal,Hungary,Slovakia,Netherlands,Germany,Romania,Iceland",Movie,27-04-2007,2021-03-03,Netflix,2021
12,12,12,The Simple Minded Murderer,1985,7.6,Not Rated,Drama,"Scanian, Swedish",120,"Lithuania,Poland,France,Italy,Spain,Greece,Czech Republic,Belgium,Portugal,Hungary,Slovakia,Netherlands,Germany,Romania,Switzerland,United Kingdom,Iceland",Movie,01-09-1985,2021-03-03,Netflix,2021
13,13,13,The Stig-Helmer Story,2011,4.5,Not Rated,"Comedy, Drama","Swedish, English",120,"Lithuania,Poland,France,Italy,Spain,Greece,Czech Republic,Belgium,Portugal,Hungary,Slovakia,Netherlands,Germany,Romania,Switzerland,United Kingdom,Iceland",Movie,25-12-2011,2021-03-03,Netflix,2021
14,14,14,To Kill a Child,2011,7.7,Not Rated,"Short, Drama",Spanish,30,"Lithuania,Poland,France,Italy,Spain,Greece,Czech Republic,Belgium,Portugal,Hungary,Slovakia,Netherlands,Germany,Romania,Switzerland,United Kingdom,Iceland",Movie,07-02-2011,2021-03-03,Netflix,2021
15,15,15,Joker,2019,8.4,R,"Crime, Drama, Thriller",English,120,"Lithuania,Poland,France,Italy,Spain,Greece,Belgium,Portugal,Netherlands,Germany,Iceland,Czech Republic",Movie,04-10-2019,2021-03-03,Netflix,2021
16,16,16,I,1999,6.5,PG,"Action, Adventure, Fantasy, Sci-Fi","English, Sanskrit",120,"Lithuania,Poland,France,Italy,Spain,Greece,Czech Republic,Belgium,Portugal,Hungary,Slovakia,Netherlands,Germany,Romania,Iceland",Movie,19-05-1999,2021-03-03,Netflix,2021
17,17,17,Harrys Daughters,2011,8.1,PG-13,"Adventure, Drama, Fantasy, Mystery",English,120,"Lithuania,Poland,France,Italy,Spain,Greece,Czech Republic,Belgium,Portugal,Hungary,Slovakia,Netherlands,Germany,Romania,Switzerland,United Kingdom,Iceland",Movie,15-07-2011,2021-03-03,Netflix,2021
18,18,18,Gyllene Tider,1677,7.7,Not Rated,Music,Swedish,60,"Lithuania,Poland,France,Italy,Spain,Greece,Czech Republic,Belgium,Portugal,Hungary,Slovakia,Netherlands,Germany,Romania,Switzerland,United Kingdom,Iceland",Movie,1677-09-23,2021-03-03,Netflix,2021
19,19,19,False As Water,1985,6.3,Not Rated,"Drama, Thriller",Swedish,120,"Lithuania,Poland,France,Italy,Spain,Greece,Czech Republic,Belgium,Portugal,Hungary,Slovakia,Netherlands,Germany,Romania,Switzerland,United Kingdom,Iceland",Movie,08-11-1985,2021-03-03,Netflix,2021
20,20,20,Bang!,1677,5.6,Not Rated,Short,English,120,"Lithuania,Poland,France,Italy,Spain,Greece,Czech Republic,Belgium,Portugal,Hungary,Slovakia,Netherlands,Germany,Romania,Switzerland,United Kingdom,Iceland",Movie,1677-09-23,2021-03-03,Netflix,2021
21,21,21,A Guest Is Coming,1947,5.4,Not Rated,Thriller,Swedish,120,"Lithuania,Poland,France,Italy,Spain,Greece,Czech Republic,Belgium,Portugal,Hungary,Slovakia,Netherlands,Germany,Romania,Switzerland,United Kingdom,Iceland",Movie,03-11-1947,2021-03-03,Netflix,2021
22,22,22,1939,1989,5.5,Not Rated,Drama,Swedish,180,"Lithuania,Poland,France,Italy,Spain,Greece,Czech Republic,Belgium,Portugal,Hungary,Slovakia,Netherlands,Germany,Romania,Switzerland,United Kingdom,Iceland",Movie,25-12-1989,2021-03-03,Netflix,2021
23,23,23,Girls und Panzer das Finale,2017,7.3,Not Rated,"Animation, Action, Comedy",Japanese,30,Japan,Series,09-12-2017,2021-02-03,Netflix,2021
24,24,24,Indoo Ki Jawani,2020,1.4,Not Rated,"Comedy, Drama",Hindi,120,"Canada,Mexico,South Africa,Thailand,Turkey,Singapore,Argentina,Israel,Australia,Malaysia,Brazil,Colombia,India,Hong Kong,Japan,United States,Russia",Movie,11-12-2020,2021-02-03,Netflix,2021
25,25,25,The Coroner,2015,7.0,TV-14,"Crime, Drama",English,30,Canada,Series,16-11-2015,2021-02-03,Netflix,2021
26,26,26,Brave New World,2020,7.1,TV-MA,"Drama, Sci-Fi",English,30,"Poland,Czech Republic,Hungary,Slovakia,Romania,India",Series,15-07-2020,2021-02-03,Netflix,2021
27,27,27,Comrades: Almost a Love Story,1996,8.1,Not Rated,"Drama, Romance","Cantonese, Mandarin, English",120,South Korea,Movie,02-11-1996,2021-01-03,Netflix,2021
28,28,28,The Closet,2001,7.0,R,Comedy,French,120,South Korea,Movie,10-08-2001,2021-01-03,Netflix,2021
29,29,29,The Mysterians,1959,6.2,TV-Y7,"Action, Family, Sci-Fi, Thriller","Japanese, English",120,Japan,Movie,15-05-1959,2021-01-03,Netflix,2021
30,30,30,No Longer Human,2019,5.9,Not Rated,"Biography, Drama, Thriller",Japanese,180,Japan,Movie,13-09-2019,2021-01-03,Netflix,2021
31,31,31,Repast,1951,7.7,Not Rated,Drama,Japanese,120,Japan,Movie,23-11-1951,2021-01-03,Netflix,2021
32,32,32,Sway,2006,7.2,Not Rated,"Crime, Drama",Japanese,120,Japan,Movie,08-07-2006,2021-01-03,Netflix,2021
33,33,33,When a Woman Ascends the Stairs,1963,8.1,Not Rated,Drama,Japanese,120,Japan,Movie,25-06-1963,2021-01-03,Netflix,2021
34,34,34,Yearning,1964,8.1,Not Rated,Drama,Japanese,120,Japan,Movie,23-10-1964,2021-01-03,Netflix,2021
35,35,35,Gorath,1964,5.8,Not Rated,"Action, Family, Sci-Fi, Thriller","Japanese, English",120,Japan,Movie,15-05-1964,2021-01-03,Netflix,2021
36,36,36,Ginza Cosmetics,1951,6.9,Not Rated,Drama,"Japanese, English",120,Japan,Movie,14-04-1951,2021-01-03,Netflix,2021
37,37,37,Floating Clouds,1980,7.7,Not Rated,"Drama, Romance",Japanese,180,Japan,Movie,06-06-1980,2021-01-03,Netflix,2021
38,38,38,Cheer Boys!!,2016,6.4,TV-14,"Animation, Drama, Sport",Japanese,120,Japan,Movie,05-07-2016,2021-01-03,Netflix,2021
39,39,39,365 Nights,1677,5.5,Not Rated,Not Available,Japanese,120,Japan,Movie,1677-09-23,2021-01-03,Netflix,2021
40,40,40,Restart After Come Back Home,2020,7.2,Not Rated,"Drama, Romance",Japanese,120,Japan,Movie,04-09-2020,2021-01-03,Netflix,2021
41,41,41,Trial by Fire,2019,6.9,R,"Biography, Drama",English,180,United Kingdom,Movie,17-05-2019,2021-01-03,Netflix,2021
42,42,42,5 Minute,2010,8.6,Not Rated,Comedy,English,120,Romania,Movie,12-10-2010,2021-01-03,Netflix,2021
43,43,43,Dilili in Paris,2019,7.0,PG,"Animation, Adventure, Family, Mystery",French,120,"Germany,Switzerland",Movie,04-10-2019,2021-01-03,Netflix,2021
44,44,44,All of Us,2003,5.9,Not Rated,Comedy,English,120,Netherlands,Movie,16-09-2003,2021-01-03,Netflix,2021
45,45,45,Years and Years,2019,8.3,TV-MA,"Drama, Sci-Fi",English,30,Belgium,Series,24-06-2019,2021-01-03,Netflix,2021
46,46,46,The New Pope,2020,8.2,TV-MA,Drama,"English, Italian",30,"Belgium,Netherlands",Series,13-01-2020,2021-01-03,Netflix,2021
47,47,47,Life and Nothing But,1989,7.4,PG,"Drama, War",French,180,"France,Belgium",Movie,06-09-1989,2021-01-03,Netflix,2021
48,48,48,Let Joy Reign Supreme,1975,7.1,Not Rated,"Drama, History, War","French, Breton",120,"France,Belgium",Movie,26-03-1975,2021-01-03,Netflix,2021
49,49,49,Coup de Torchon,1981,7.5,Not Rated,"Comedy, Crime, Drama","French, English",180,"France,Belgium",Movie,04-11-1981,2021-01-03,Netflix,2021
50,50,50,Valley of the Gods,2020,4.5,TV-14,"Adventure, Drama, Sci-Fi, Thriller",English,180,Poland,Movie,11-08-2020,2021-01-03,Netflix,2021
51,51,51,Framing John DeLorean,2019,6.5,Unrated,"Documentary, Biography, Drama",English,120,Poland,Movie,07-06-2019,2021-01-03,Netflix,2021
52,52,52,Critters Attack!,2020,3.7,R,"Comedy, Horror, Sci-Fi",English,120,"Poland,Czech Republic,Hungary,Slovakia,Romania",Movie,06-11-2020,2021-01-03,Netflix,2021
53,53,53,The Bold Type,2017,8.0,TV-14,Drama,English,30,"Lithuania,Poland,Italy,Spain,Greece,Czech Republic,Belgium,Portugal,Hungary,South Africa,Slovakia,Sweden,Thailand,Netherlands,Singapore,Turkey,Israel,Romania,United Kingdom,Malaysia,India,Hong Kong,Japan,South Korea,Russia,Iceland,Switzerland",Series,20-06-2017,2021-01-03,Netflix,2021
54,54,54,Alice,1991,6.6,PG-13,"Comedy, Romance","English, Cantonese",30,"Lithuania,Poland,France,Italy,Spain,Greece,Czech Republic,Belgium,Portugal,Hungary,Slovakia,South Africa,Sweden,Thailand,Netherlands,Germany,Singapore,Turkey,Romania,Israel,United Kingdom,Australia,India,Russia,Iceland,Switzerland",Series,10-01-1991,2021-01-03,Netflix,2021
55,55,55,Lobster Cop,2018,5.1,Not Rated,"Comedy, Crime",Mandarin,120,South Korea,Movie,22-06-2018,2021-02-28,Netflix,2021
56,56,56,Magic hour,1677,5.5,Not Rated,Crime,English,120,South Korea,Movie,1677-09-23,2021-02-28,Netflix,2021
57,57,57,Marionette,2020,5.9,Not Rated,"Mystery, Thriller",English,120,South Korea,Movie,19-09-2020,2021-02-28,Netflix,2021
58,58,58,Miss Baek,2018,6.6,Not Rated,Drama,Korean,120,South Korea,Movie,11-10-2018,2021-02-28,Netflix,2021
59,59,59,Old Marine Boy,1677,6.9,Not Rated,Documentary,Korean,120,South Korea,Movie,1677-09-23,2021-02-28,Netflix,2021
60,60,60,Ordinary People,1980,7.7,R,Drama,English,120,South Korea,Movie,19-09-1980,2021-02-28,Netflix,2021
61,61,61,Outdoor Begins,2017,4.8,Not Rated,"Comedy, Fantasy, Horror, Thriller",Korean,120,South Korea,Movie,04-03-2017,2021-02-28,Netflix,2021
62,62,62,Paths of the Soul,2017,7.5,Not Rated,Drama,Tibetan,120,South Korea,Movie,20-06-2017,2021-02-28,Netflix,2021
63,63,63,Promise at Dawn,2019,7.2,Not Rated,"Biography, Drama, Romance, War","French, Polish, Spanish, English",180,South Korea,Movie,06-09-2019,2021-02-28,Netflix,2021
64,64,64,Rebel in the Rye,2017,6.7,PG-13,"Biography, Drama, Romance, War",English,120,South Korea,Movie,15-09-2017,2021-02-28,Netflix,2021
65,65,65,The Return,2003,8.0,Not Rated,Drama,Russian,120,South Korea,Movie,25-06-2003,2021-02-28,Netflix,2021
66,66,66,The Rookies,1972,6.7,Not Rated,"Crime, Drama",English,120,South Korea,Movie,07-03-1972,2021-02-28,Netflix,2021
67,67,67,Snatch Up,2018,6.0,Not Rated,"Drama, Crime, Action",English,120,South Korea,Movie,12-04-2018,2021-02-28,Netflix,2021
68,68,68,Stray,2019,4.8,Not Rated,"Action, Crime, Fantasy, Thriller",English,120,South Korea,Movie,01-04-2019,2021-02-28,Netflix,2021
69,69,69,Stand by Me,1986,8.1,R,"Adventure, Drama",English,120,South Korea,Movie,22-08-1986,2021-02-28,Netflix,2021
70,70,70,Tea Pets,2020,5.6,Not Rated,"Animation, Adventure",Chinese,120,South Korea,Movie,14-01-2020,2021-02-28,Netflix,2021
71,71,71,A Tiger In Winter,2018,6.3,Not Rated,"Drama, Romance",Korean,120,South Korea,Movie,12-04-2018,2021-02-28,Netflix,2021
72,72,72,The Three Little Pigs,1677,5.8,Not Rated,Animation,English,120,South Korea,Movie,1677-09-23,2021-02-28,Netflix,2021
73,73,73,Wonderstruck,2017,6.2,PG,"Adventure, Drama, Mystery","English, Spanish",120,South Korea,Movie,20-10-2017,2021-02-28,Netflix,2021
74,74,74,Keys To The Heart,2018,7.5,Not Rated,"Comedy, Drama, Family",Korean,180,South Korea,Movie,26-01-2018,2021-02-28,Netflix,2021
75,75,75,Intimate Strangers,2004,7.0,R,"Drama, Romance, Thriller",French,120,South Korea,Movie,03-09-2004,2021-02-28,Netflix,2021
76,76,76,Homme Fatale,2019,6.9,Not Rated,"Comedy, History, Romance",Korean,120,South Korea,Movie,10-07-2019,2021-02-28,Netflix,2021
77,77,77,Happy Bus Day,2017,6.8,Not Rated,"Comedy, Drama",Korean,120,South Korea,Movie,21-04-2017,2021-02-28,Netflix,2021
78,78,78,Gonjiam: Haunted Asylum,2018,6.3,Not Rated,Horror,Korean,120,South Korea,Movie,28-03-2018,2021-02-28,Netflix,2021
79,79,79,Golden Slumber,2010,7.1,Not Rated,"Action, Drama, Thriller",Japanese,120,South Korea,Movie,30-01-2010,2021-02-28,Netflix,2021
80,80,80,Extreme Job,2019,7.1,Not Rated,"Action, Comedy, Crime","Korean, Mandarin",120,South Korea,Movie,21-06-2019,2021-02-28,Netflix,2021
81,81,81,Default,2018,6.6,Not Rated,Drama,"Korean, English",120,South Korea,Movie,28-11-2018,2021-02-28,Netflix,2021
82,82,82,Criticsized,2016,3.6,Not Rated,"Action, Crime, Drama, Horror, Thriller",English,120,South Korea,Movie,13-12-2016,2021-02-28,Netflix,2021
83,83,83,Communication & Lies,1677,5.0,Not Rated,"Short, Drama",English,120,South Korea,Movie,1677-09-23,2021-02-28,Netflix,2021
84,84,84,Clover,2020,4.2,Not Rated,"Comedy, Crime, Thriller",English,120,South Korea,Movie,03-04-2020,2021-02-28,Netflix,2021
85,85,85,Blood Orange,2016,4.3,Not Rated,Thriller,English,120,South Korea,Movie,29-04-2016,2021-02-28,Netflix,2021
86,86,86,The Big Shot,1942,6.7,Approved,"Crime, Drama, Film-Noir, Thriller",English,120,South Korea,Movie,13-06-1942,2021-02-28,Netflix,2021
87,87,87,Angels Time,1999,7.9,TV-14,"Action, Drama, Fantasy, Thriller",English,120,South Korea,Movie,05-10-1999,2021-02-28,Netflix,2021
88,88,88,After My Death,2018,6.3,Not Rated,Drama,Korean,120,South Korea,Movie,13-09-2018,2021-02-28,Netflix,2021
89,89,89,The Age of Blood,2017,5.9,Not Rated,Action,Korean,120,South Korea,Movie,14-11-2017,2021-02-28,Netflix,2021
90,90,90,The Accidental Detective 2: In Action,2018,6.5,Not Rated,"Comedy, Crime, Thriller",Korean,120,South Korea,Movie,22-06-2018,2021-02-28,Netflix,2021
91,91,91,12 Feet Deep,2017,5.5,Not Rated,"Horror, Thriller",English,120,South Korea,Movie,20-06-2017,2021-02-28,Netflix,2021
92,92,92,1987: When the Day Comes,2018,7.8,Not Rated,Drama,Korean,180,South Korea,Movie,12-01-2018,2021-02-28,Netflix,2021
93,93,93,Enter the Fat Dragon,2020,5.7,TV-14,"Action, Comedy","Cantonese, Japanese, English",120,South Korea,Movie,14-02-2020,2021-02-28,Netflix,2021
94,94,94,Operation Buffalo,2020,6.3,Not Rated,"Adventure, Comedy, Drama, Thriller, War","English, Aboriginal",30,"Thailand,Singapore,Australia,Malaysia,India,Hong Kong,Japan",Series,31-05-2020,2021-02-28,Netflix,2021
95,95,95,Bigfoot Family,2020,6.0,TV-Y7,"Animation, Family",English,120,"Australia,United Kingdom,United States,Canada",Movie,05-08-2020,2021-02-27,Netflix,2021
96,96,96,The Girl on the Train,2016,6.5,R,"Crime, Drama, Mystery, Thriller","English, Spanish",180,"Lithuania,Poland,France,Iceland,Italy,Spain,Greece,Czech Republic,Belgium,Portugal,Canada,Hungary,Mexico,Slovakia,Sweden,South Africa,Netherlands,Germany,Thailand,Turkey,Singapore,Romania,Israel,Australia,Switzerland,Brazil,United Kingdom,India,Malaysia,Hong Kong,Colombia,Japan,South Korea,United States,Russia,Argentina",Movie,07-10-2016,2021-02-27,Netflix,2021
97,97,97,Ginny & Georgia - The Afterparty,2016,5.3,Not Rated,"Animation, Short",English,60,"Lithuania,Poland,France,Iceland,Italy,Spain,Greece,Czech Republic,Belgium,Portugal,Canada,Hungary,Mexico,Slovakia,Sweden,South Africa,Netherlands,Germany,Thailand,Turkey,Singapore,Romania,Israel,Australia,Switzerland,Brazil,United Kingdom,India,Malaysia,Hong Kong,Colombia,Japan,United States,Russia,Argentina",Movie,01-05-2016,2021-02-27,Netflix,2021
98,98,98,Ride Your Wave,2020,6.8,Not Rated,"Animation, Comedy, Drama, Family, Fantasy, Romance",Japanese,120,Japan,Movie,19-02-2020,2021-02-26,Netflix,2021
99,99,99,Baumbacher Syndrome,2021,7.4,Not Rated,"Comedy, Drama","English, German",120,"Germany,Switzerland",Movie,20-01-2021,2021-02-26,Netflix,2021
100,100,100,La Palma,2020,7.6,Not Rated,"Comedy, Drama, Romance","German, English, Spanish, Danish",120,"Germany,Switzerland",Movie,04-06-2020,2021-02-26,Netflix,2021
101,101,101,Fuga,2006,6.2,Not Rated,"Drama, Music, Thriller",Spanish,120,"Spain,Mexico,Brazil,Colombia,United States,Argentina",Movie,27-03-2006,2021-02-26,Netflix,2021
102,102,102,Geez & Ann,2012,8.0,Not Rated,Animation,English,120,"Lithuania,Poland,France,Iceland,Italy,Spain,Greece,Czech Republic,Canada,Belgium,Mexico,Portugal,South Africa,Hungary,Thailand,Slovakia,Singapore,Sweden,Netherlands,Argentina,Germany,Israel,Turkey,Australia,Romania,Switzerland,Brazil,United Kingdom,India,Malaysia,Hong Kong,Colombia,Japan,United States,Russia",Movie,22-06-2012,2021-02-26,Netflix,2021
103,103,103,Capone,2020,4.7,R,"Biography, Crime, Drama","English, Polish",120,United Kingdom,Movie,12-05-2020,2021-02-25,Netflix,2021
104,104,104,Vaterland: A Hunting Logbook,2004,6.3,Not Rated,Thriller,Czech,120,Slovakia,Movie,19-08-2004,2021-02-25,Netflix,2021
105,105,105,The Last Bastion,1984,8.5,Not Rated,"Drama, History, War",English,30,"Spain,Mexico,Argentina,Brazil,Colombia,United States",Series,06-11-1984,2021-02-25,Netflix,2021
106,106,106,Princess Principal,2017,7.3,TV-MA,"Animation, Action, Adventure, Drama, Sci-Fi",Japanese,30,Japan,Series,09-07-2017,2021-02-24,Netflix,2021
107,107,107,Above Suspicion,2020,5.5,R,"Action, Biography, Crime, Thriller",English,120,"Mexico,Argentina,Brazil,Colombia",Movie,13-11-2020,2021-02-24,Netflix,2021
108,108,108,A Call to Spy,2020,6.3,PG-13,"Biography, Crime, Drama, Thriller, War",English,180,United Kingdom,Movie,02-10-2020,2021-02-23,Netflix,2021
109,109,109,Red,2010,7.0,PG-13,"Action, Comedy, Crime, Thriller","English, Russian",180,"Canada,Mexico,South Africa,Thailand,Singapore,Turkey,Israel,Australia,Brazil,Malaysia,India,Colombia,Hong Kong,Japan,United States,Russia,Argentina",Movie,15-10-2010,2021-02-23,Netflix,2021
110,110,110,Made You Look: A True Story About Fake Art,2021,7.0,Not Rated,Documentary,English,120,"Lithuania,Poland,France,Italy,Spain,Greece,Czech Republic,Belgium,Portugal,Hungary,Slovakia,South Africa,Sweden,Netherlands,Thailand,Germany,Singapore,Turkey,Romania,Israel,Switzerland,Australia,United Kingdom,Malaysia,India,Hong Kong,Japan,South Korea,Russia,Iceland,Mexico,Argentina,Brazil,Colombia,United States",Movie,23-02-2021,2021-02-23,Netflix,2021
111,111,111,Il signor Diavolo,2019,6.0,Not Rated,"Horror, Mystery, Thriller",Italian,120,Italy,Movie,22-08-2019,2021-02-22,Netflix,2021
112,112,112,Chihayafuru,2011,8.2,TV-14,"Animation, Comedy, Drama",Japanese,30,South Korea,Series,05-10-2011,2021-02-21,Netflix,2021
113,113,113,Classmates Minus,2021,7.4,Not Rated,"Comedy, Drama",English,180,"Lithuania,Poland,France,Iceland,Italy,Spain,Greece,Czech Republic,Belgium,Portugal,Canada,Hungary,Mexico,Slovakia,South Africa,Sweden,Netherlands,Thailand,Germany,Singapore,Turkey,Argentina,Romania,Israel,Switzerland,Australia,United Kingdom,Brazil,Malaysia,Colombia,India,Hong Kong,Japan,South Korea,United States,Russia",Movie,20-02-2021,2021-02-21,Netflix,2021
114,114,114,Oh My JUMP!,2018,8.4,Not Rated,Drama,Japanese,30,Japan,Series,13-01-2018,2021-02-20,Netflix,2021
115,115,115,The Mole Agent,2020,7.6,Not Rated,Documentary,Spanish,120,"Mexico,Argentina,Colombia",Movie,01-09-2020,2021-02-20,Netflix,2021
116,116,116,The Loop,1677,7.3,Not Rated,Comedy,English,120,Poland,Movie,1677-09-23,2021-02-20,Netflix,2021
117,117,117,I Care a Lot,2021,6.6,R,"Comedy, Crime, Thriller",English,120,"Poland,France,Greece,Czech Republic,Portugal,Mexico,Hungary,Slovakia,South Africa,Thailand,Germany,Singapore,Turkey,Argentina,Romania,Israel,Brazil,Malaysia,India,Colombia,Hong Kong,United States",Movie,19-02-2021,2021-02-20,Netflix,2021
118,118,118,No Escape Room,2018,5.2,Unrated,"Horror, Mystery, Thriller",English,120,United States,Movie,06-10-2018,2021-02-19,Netflix,2021
119,119,119,Legacy of Lies,2020,5.0,R,"Action, Thriller","English, Ukrainian, Russian",120,United Kingdom,Movie,28-07-2020,2021-02-19,Netflix,2021
120,120,120,2067,2020,4.8,Not Rated,Sci-Fi,English,120,Australia,Movie,02-10-2020,2021-02-19,Netflix,2021
121,121,121,Ronny & Klaid,1932,5.6,Not Rated,"Comedy, Musical",German,120,"Germany,Switzerland",Movie,13-04-1932,2021-02-19,Netflix,2021
122,122,122,Burden,2020,6.6,R,Drama,English,120,Netherlands,Movie,09-06-2020,2021-02-19,Netflix,2021
123,123,123,Collective,2020,8.4,Not Rated,Documentary,"Romanian, English",120,Canada,Movie,20-11-2020,2021-02-19,Netflix,2021
124,124,124,Love,2015,6.1,TV-MA,"Drama, Romance","English, French",120,"Canada,Mexico,South Africa,Thailand,Singapore,Turkey,Argentina,Israel,Australia,Brazil,Malaysia,Colombia,India,Hong Kong,Japan,United States,Russia",Movie,30-10-2015,2021-02-19,Netflix,2021
125,125,125,Sisyphus,1974,6.9,Not Rated,"Animation, Short",None,30,"Iceland,Canada,South Africa,Thailand,Singapore,United Kingdom,Australia,Malaysia,India,Hong Kong,Japan,South Korea,United States",Series,01-10-1974,2021-02-18,Netflix,2021
126,126,126,Eeb Allay Ooo!,2020,7.4,Not Rated,"Comedy, Drama",Hindi,120,"Lithuania,Poland,France,Iceland,Italy,Spain,Greece,Czech Republic,Belgium,Portugal,Canada,Hungary,Mexico,Slovakia,South Africa,Sweden,Netherlands,Thailand,Germany,Singapore,Turkey,Romania,Argentina,Israel,Switzerland,United Kingdom,Australia,Malaysia,Brazil,Colombia,India,Hong Kong,Japan,United States,Russia",Movie,18-12-2020,2021-02-18,Netflix,2021
127,127,127,Behind Her Eyes,2018,6.2,TV-14,"Short, Drama",English,30,"Lithuania,Poland,France,Iceland,Italy,Spain,Greece,Czech Republic,Belgium,Portugal,Canada,Hungary,Mexico,Slovakia,South Africa,Sweden,Netherlands,Thailand,Germany,Singapore,Turkey,Romania,Argentina,Israel,Switzerland,United Kingdom,Australia,Malaysia,Brazil,Colombia,India,Hong Kong,Japan,South Korea,United States,Russia",Series,15-05-2018,2021-02-18,Netflix,2021
128,128,128,The Manson Family Massacre,2019,3.0,Not Rated,"Crime, Horror, Thriller",English,120,South Korea,Movie,06-08-2019,2021-02-17,Netflix,2021
129,129,129,Return of the King Huang Feihong,2017,4.2,Not Rated,Action,Chinese,120,South Korea,Movie,13-11-2017,2021-02-17,Netflix,2021
130,130,130,Ten Years Japan,2018,5.6,Not Rated,Drama,Japanese,120,South Korea,Movie,03-11-2018,2021-02-17,Netflix,2021
131,131,131,Love at Second Sight,2019,7.0,Not Rated,"Comedy, Drama, Fantasy, Romance","French, English",120,South Korea,Movie,03-04-2019,2021-02-17,Netflix,2021
132,132,132,Liberation,1971,7.8,Not Rated,"Drama, History, Romance, War","Russian, German, Italian, Polish, English, French",120,South Korea,Movie,01-11-1971,2021-02-17,Netflix,2021
133,133,133,The King is Invincible,2019,5.7,Not Rated,Action,Chinese,120,South Korea,Movie,28-07-2019,2021-02-17,Netflix,2021
134,134,134,Amanda,2018,7.0,G,Drama,"French, English",120,South Korea,Movie,21-11-2018,2021-02-17,Netflix,2021
135,135,135,Corpus Christi,2020,7.7,Not Rated,Drama,Polish,120,South Korea,Movie,28-02-2020,2021-02-17,Netflix,2021
136,136,136,The Shadow,1994,6.1,PG-13,"Action, Adventure, Crime, Fantasy, Mystery, Thriller",English,120,Brazil,Movie,01-07-1994,2021-02-17,Netflix,2021
137,137,137,Artysci,2016,7.9,Not Rated,Drama,Polish,30,Poland,Series,02-09-2016,2021-02-17,Netflix,2021
138,138,138,Overcoming,2006,6.9,Not Rated,"Documentary, Sport","Danish, English, Italian, Spanish",120,"Lithuania,Poland,France,Iceland,Italy,Spain,Greece,Belgium,Portugal,Hungary,Netherlands,Germany,Switzerland,United Kingdom,Czech Republic",Movie,28-04-2006,2021-02-17,Netflix,2021
139,139,139,Se min kjole,2009,6.2,Not Rated,Drama,Danish,120,"Lithuania,Poland,France,Iceland,Italy,Spain,Greece,Czech Republic,Belgium,Portugal,Hungary,Slovakia,Netherlands,Germany,Romania,Switzerland,United Kingdom",Movie,03-07-2009,2021-02-17,Netflix,2021
